Year,Revenue_(mil._USD),Net_income_(mil._USD),Total_assets_(mil._USD),Employees
2005,0,−12,8,
2006,0,−30,44,70
2007,0.073,−78,34,268
2008,15,−83,52,252
2009,112,−56,130,514
2010,117,−154,386,899
2011,204,−254,713,1417
2012,413,−396,1114,2914
2013,2013,−74,2417,5859
2014,3198,−294,5831,10161
2015,4046,−889,8068,13058
2016,7000,−675,22664,17782
2017,11759,−1962,28655,37543
2018,21461,−976,29740,48817
2019,24578,−862,34309,48016
2020,31536,721,52148,70757
2021,53823,5519,62131,99290
2022,81462,12556,82338,127855
